agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals
bob,1,28540688,111,0.0062,0.1926,0.66,,-1.063,0.1437,,
bob,1,28540688,112,0.0041,0.1983,0.66,,-1.0756,0.1512,,
bob,1,28540688,113,0.0086,0.1927,0.66,,-1.0646,0.148,,
bob,1,28540688,114,0.0065,0.1907,0.64,,-1.0665,0.1426,,
bob,1,28540688,115,0.0067,0.1958,0.6,,-1.0689,0.1385,,
bob,1,28540688,116,0.0039,0.2049,0.54,,-1.0735,0.1396,,
bob,1,28540688,117,0.0065,0.1964,0.62,,-1.073,0.145,,
bob,1,28540688,118,0.0065,0.1857,0.62,,-1.072,0.135,,
bob,1,28540688,119,0.0092,0.1871,0.58,,-1.0937,0.1273,,
bob,1,28540688,120,0.0079,0.2049,0.62,,-1.0762,0.1445,,
bob,1,28541846,121,-0.0007,0.1714,0.6806,,-1.0697,0.1276,,
bob,1,28541846,122,0.0005,0.1433,0.5535,,-1.0845,0.1107,,
